,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
340,1216.0,6.1,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
341,1806.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
342,1700.0,7.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
343,1700.0,7.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
344,1907.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
345,1907.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
346,2047.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
347,2051.0,7.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
348,2015.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
349,2015.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
350,1519.0,8.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
351,1519.0,8.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
352,1861.0,8.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
353,1858.0,8.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
354,1216.0,8.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
355,1216.0,8.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
356,1822.0,8.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
357,1822.0,8.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
358,1160.0,8.2,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
359,2770.0,8.2,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
360,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
361,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
362,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
363,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
364,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
365,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
366,1517.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
367,1701.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
368,1698.0,9.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
369,1668.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
370,1668.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
371,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
372,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
373,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
374,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
375,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
376,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
377,1584.0,10.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
378,1577.0,10.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
379,1178.0,10.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
380,1178.0,10.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
381,1120.0,10.2,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
382,2503.0,10.2,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
383,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
384,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
385,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
386,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
387,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
