,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
715,1222.0,4.4,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
717,1229.0,4.5,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
718,1229.0,4.5,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
719,1229.0,4.5,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
720,1194.0,4.5,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
721,1229.0,4.5,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
722,1229.0,4.5,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
723,1167.0,4.6,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
724,1096.0,4.7,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
725,1096.0,4.7,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
726,1096.0,4.7,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
727,1141.0,4.7,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
728,1096.0,4.7,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
729,1096.0,4.7,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
731,1116.0,4.8,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
732,944.0,4.9,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
733,944.0,4.9,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
734,944.0,4.9,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
735,1092.0,4.9,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
736,944.0,4.9,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
737,944.0,4.9,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
738,1068.0,5.0,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
739,795.0,5.1,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
740,795.0,5.1,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
741,795.0,5.1,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
742,795.0,5.1,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
743,795.0,5.1,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
744,1139.0,0.1,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
745,1139.0,0.1,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
746,1139.0,0.1,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
747,1139.0,0.1,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
748,1138.0,0.2,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
749,1138.0,0.2,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
750,1138.0,0.2,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
751,1138.0,0.2,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
752,1137.0,0.3,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
753,1137.0,0.3,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
754,1137.0,0.3,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
755,1137.0,0.3,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
