P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
EAU36288424,124,1947,3.7,0.37,45,320,32.5,104,8,1~4,A
EAU62983010,30,1551,3.7,0.28,60,580,7.5,94,8,1~4,A
EAU36288424,124,1920,3.8,0.37,45,320,32.5,104,8,1~4,A
EAU62983010,30,1460,3.8,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,1482,3.9,0.25,119.5,550,10,87,8,1~4,A
EAU62983002,30,1546,3.9,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,1546,3.9,0.25,119.5,550,10,87,8,1~4,A
EAU62983010,30,1350,3.9,0.28,60,580,7.5,94,8,1~4,A
EAU36288424,124,1865,4,0.37,45,320,32.5,104,8,1~4,A
EAU61883001,30,1998,4,0.28,50.1,420,13,88,8,1~4,A
EAU62983010,30,1239,4,0.28,60,580,7.5,94,8,1~4,A
EAU62243920,40,1120,4.1,0.25,82.5,620,13,88,8,1~4,A
EAU36288424,124,1837,4.1,0.37,45,320,32.5,104,8,1~4,A
EAU62983010,30,1102,4.1,0.28,60,580,7.5,94,8,1~4,A
EAU36288424,124,1810,4.2,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1783,4.4,0.37,45,320,32.5,104,8,1~4,A
4681A20168G,43,1177,4.5,0.25,136.2,630,22,88,8,1~4,A
EAU62243920,40,1035,4.6,0.25,82.5,620,13,88,8,1~4,A
EAU36288424,124,1730,4.6,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1678,4.9,0.37,45,320,32.5,104,8,1~4,A
4681A20168G,43,1108,5,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,1139,5,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,1678,5,0.37,45,320,32.5,104,8,1~4,A
EAU62243920,40,922,5.1,0.25,82.5,620,13,88,8,1~4,A
4681A20168G,43,1048,5.5,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,1072,5.5,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,1554,5.7,0.37,45,320,32.5,104,8,1~4,A
4681A20168G,43,991,6,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,1022,6,0.25,136.2,630,22,88,8,1~4,A
4681A20168G,43,941,6.5,0.25,136.2,630,22,88,8,1~4,A
